Bowling Style,Count
Right arm Offbreak,9438
Right arm Medium,11175
Right arm Medium fast,5340
Right arm Fast,1114
Legbreak Googly,1413
Slow Left arm Orthodox,4736
Right arm Fast medium,3642
Legbreak,2846
Left arm Medium,1159
Right arm Slow,143
Right arm Slow medium,92
Left arm Medium fast,870
Right arm Bowler,236
Left arm Fast medium,531
"Right arm Medium fast, Legbreak",13
"Right arm Medium, Right arm Offbreak",196
Left arm Fast,117
"Right arm Offbreak, Legbreak Googly",23
Left arm Wrist spin,169
"Right arm Offbreak, Legbreak",36
"Right arm Fast medium, Legbreak",16
Left arm Slow medium,24
"Right arm Fast medium, Right arm Offbreak",23
"Slow Left arm Orthodox, Left arm Wrist spin",24
"Left arm Medium, Slow Left arm Orthodox",43
"Right arm Offbreak, Slow Left arm Orthodox",20
"Right arm Medium fast, Right arm Offbreak",16
Left arm Bowler,32
Left arm Slow,31
"Right arm Medium, Right arm Offbreak, Slow Left arm Orthodox",3
"Right arm Medium fast, Right arm Medium",9
"Right arm Medium, Legbreak Googly",15
"Right arm Fast medium, Legbreak Googly",4
"Left arm Medium fast, Slow Left arm Orthodox",4
"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",3
"Right arm Fast medium, Right arm Offbreak, Legbreak",1
"Right arm Fast medium, Right arm Medium",7
"Right arm Fast, Right arm Medium",2
"Right arm Fast medium, Right arm Medium, Legbreak Googly",1
"Right arm Slow, Right arm Slow",1
"Right arm Fast, Legbreak",1
"Right arm Medium, Legbreak",22
"Right arm Medium fast, Right arm Medium, Right arm Offbreak",2
"Left arm Fast medium, Left arm Slow",1
"Left arm Fast medium, Slow Left arm Orthodox, Left arm Wrist spin",1
(Unknown Arm) Slow,1
"Left arm Fast medium, Slow Left arm Orthodox",7
"Right arm Medium, Right arm Slow",5
"Left arm Medium, Slow Left arm Orthodox, Left arm Wrist spin",2
"Right arm Slow medium, Right arm Offbreak",5
"Left arm Medium fast, Right arm Medium",3
"Right arm Medium, Right arm Offbreak, Legbreak",3
"Right arm Slow, Right arm Offbreak",2
"Right arm Medium, Right arm Slow medium",2
"Slow Left arm Orthodox, Slow Left arm Orthodox",1
"Right arm Fast, Right arm Slow",2
"Left arm Medium, Left arm Wrist spin",1
