,player_name,batting_raa,batting_balls,bowling_raa,bowling_balls,total_raa,total_balls,replacement_level_raa,vorp,war
462411b3,J Bumrah,-0.758377690686517,1.0,106.12843951866459,381.0,105.37006182797808,382.0,0.0,105.37006182797808,1.2469829802127583
919a3be2,R Pant,104.18693267825161,311.0,0.0,0.0,104.18693267825161,311.0,0.0,104.18693267825161,1.2329814518136284
5574750c,J Archer,4.749201442629022,41.0,93.58021296134987,264.0,98.32941440397889,305.0,0.0,98.32941440397889,1.1636617089228272
bbd41817,A Russell,106.28346343309977,272.0,-8.273357550507981,182.0,98.01010588259179,454.0,0.0,98.01010588259179,1.1598829098531573
dbe50b21,H Pandya,95.11910019131993,225.0,-7.939852555372073,269.0,87.17924763594786,494.0,0.0,87.17924763594786,1.0317070726147675
9d430b40,S Narine,35.867767399791404,90.0,48.304809141095426,273.0,84.17257654088684,363.0,0.0,84.17257654088684,0.9961251661643412
5f547c8b,R Khan,-3.7476288044633845,26.0,69.64168805338497,361.0,65.89405924892158,387.0,0.0,65.89405924892158,0.7798113520582436
57ee1fde,Y Chahal,-2.5699853659446843,3.0,65.01953601804169,300.0,62.44955065209701,303.0,0.0,62.44955065209701,0.7390479367112072
2ed569a0,R Chahar,-2.762782880100972,11.0,63.78406461452237,287.0,61.0212817344214,298.0,0.0,61.0212817344214,0.722145345969484
bb351c23,M Ali,26.55922562843109,137.0,33.62304125389509,145.0,60.182266882326175,282.0,0.0,60.182266882326175,0.7122161761222032
db584dad,C Gayle,55.171669144605914,338.0,0.0,0.0,55.171669144605914,338.0,0.0,55.171669144605914,0.6529191614746263
495d42a5,Ravi Ashwin,-2.393380715693492,28.0,50.449453531024176,342.0,48.05607281533069,370.0,0.0,48.05607281533069,0.5687109208914874
3241e3fd,Nicholas Pooran,39.966014357128586,110.0,0.0,0.0,39.966014357128586,110.0,0.0,39.966014357128586,0.4729705841080306
2e81a32d,Bhuvneshwar Kumar,-5.852908654437511,19.0,45.733741878091145,367.0,39.88083322365363,386.0,0.0,39.88083322365363,0.4719625233568477
a757b0d8,K Pollard,36.597902385208506,186.0,0.0,0.0,36.597902385208506,186.0,0.0,36.597902385208506,0.4331112708308699
c03f1114,D Karthik,35.37491329059473,177.0,0.0,0.0,35.37491329059473,177.0,0.0,35.37491329059473,0.41863802710763
b5da6c24,P Patel,33.64743471011004,264.0,0.0,0.0,33.64743471011004,264.0,0.0,33.64743471011004,0.3981944936107697
e62dd25d,Rabada,-2.5953195613422144,15.0,32.83911519180412,297.0,30.243795630461904,312.0,0.0,30.243795630461904,0.35791474118889827
99b75528,J Buttler,29.287162105160682,213.0,0.0,0.0,29.287162105160682,213.0,0.0,29.287162105160682,0.3465936343805998
00ea847a,M Agarwal,28.477865603916086,241.0,0.0,0.0,28.477865603916086,241.0,0.0,28.477865603916086,0.3370161609930898
7a8bd078,R Shreyas Gopal,4.336208584771426,46.0,23.531953855040385,288.0,27.86816243981181,334.0,0.0,27.86816243981181,0.3298007389326842
8cf9814c,M Shami,-1.9089541147518445,2.0,29.608401216259253,331.0,27.69944710150741,333.0,0.0,27.69944710150741,0.32780410771014684
62af8546,M Nabi,12.42827395396365,80.0,12.78001429730716,169.0,25.208288251270808,249.0,0.0,25.208288251270808,0.29832293788486164
fb2d1dda,Nitish Rana,19.612599581328084,240.0,5.263657651505054,50.0,24.876257232833137,290.0,0.0,24.876257232833137,0.2943935767199188
21d4e29b,N Saini,1.4074174497906298,2.0,21.984771583046367,299.0,23.392189032836995,301.0,0.0,23.392189032836995,0.27683063944185793
87e562a9,Bravo,0.9018344618056648,68.0,22.274160025276707,251.0,23.17599448708237,319.0,0.0,23.17599448708237,0.2742721241074837
e412cb64,H Gurney,-1.6435241835008374,2.0,23.962183502031113,169.0,22.318659318530276,171.0,0.0,22.318659318530276,0.2641261457814234
5b8c830e,K Pandya,-19.871320027079474,158.0,39.565411616695336,282.0,19.694091589615862,440.0,0.0,19.694091589615862,0.2330661726581759
abb83e27,J Bairstow,17.290459017945153,280.0,0.0,0.0,17.290459017945153,280.0,0.0,17.290459017945153,0.20462081678041602
a4cc73aa,S Samson,17.201318538088163,238.0,0.0,0.0,17.201318538088163,238.0,0.0,17.201318538088163,0.2035658998590315
5bb1a1c4,Ishant Sharma,4.517262984055003,3.0,11.720261924144069,285.0,16.23752490819907,288.0,0.0,16.23752490819907,0.1921600580851961
0a476045,Shikhar Dhawan,15.820578806859046,391.0,0.0,0.0,15.820578806859046,391.0,0.0,15.820578806859046,0.18722578469655676
e2db2409,M Ashwin,-4.396174489514785,5.0,19.160498041712923,211.0,14.764323552198139,216.0,0.0,14.764323552198139,0.17472572251122057
271f83cd,S Yadav,14.248001396215809,327.0,0.0,0.0,14.248001396215809,327.0,0.0,14.248001396215809,0.16861540113864862
