,batting_raa,batting_balls,bowling_raa,bowling_balls,total_raa,total_balls,replacement_level_raa,vorp,war
00ea847a,19.1356771433797,2075.0,0.0,0.0,19.1356771433797,2075.0,0.0,19.1356771433797,0.22645771767313252
012829ff,0.0,0.0,15.99080459761087,61.0,15.99080459761087,61.0,0.0,15.99080459761087,0.1892402910959866
0164b064,0.0,0.0,-12.881390266883257,25.0,-12.881390266883257,25.0,0.0,-12.881390266883257,-0.15244248836548233
0184dc35,-118.51980708305952,1917.0,0.0,0.0,-118.51980708305952,1917.0,0.0,-118.51980708305952,-1.4026012672551422
0264c10e,5.651261818337441,24.0,-13.664024444474897,51.0,-8.012762626137455,75.0,0.0,-8.012762626137455,-0.09482559320872729
030f3089,-4.9716653596634055,4.0,-1.395467112636884,54.0,-6.367132472300289,58.0,0.0,-6.367132472300289,-0.07535068014556555
034b4b7d,2.0395600292431975,3.0,-79.52374084458319,371.0,-77.48418081534,374.0,0.0,-77.48418081534,-0.9169725540276923
03806cf8,-12.884966301231602,29.0,79.76544173865368,622.0,66.88047543742208,651.0,0.0,66.88047543742208,0.7914849164191962
0404d43c,-0.4276539470114189,4.0,0.0,0.0,-0.4276539470114189,4.0,0.0,-0.4276539470114189,-0.005060993455756437
0494fa6e,-21.074140167817255,58.0,0.0,0.0,-21.074140167817255,58.0,0.0,-21.074140167817255,-0.24939810849487876
04a418e8,-28.143281445254956,708.0,-92.04113328449567,168.0,-120.18441472975063,876.0,0.0,-120.18441472975063,-1.4223007660325517
05c2ca46,8.958806006558062,144.0,57.28955985113438,454.0,66.24836585769243,598.0,0.0,66.24836585769243,0.7840043296768335
0604ef16,-22.624401332159916,58.0,-24.919692456289095,153.0,-47.54409378844901,211.0,0.0,-47.54409378844901,-0.562651997496438
063b3673,-11.877463026218445,142.0,0.0,0.0,-11.877463026218445,142.0,0.0,-11.877463026218445,-0.14056169261796977
0890552f,-12.349842882259294,181.0,0.0,0.0,-12.349842882259294,181.0,0.0,-12.349842882259294,-0.14615198677229935
0994d0ae,-117.57402117894718,882.0,-17.965785241283513,258.0,-135.5398064202307,1140.0,0.0,-135.5398064202307,-1.6040213777542094
0a3d54b9,-39.52412955634852,72.0,-100.90481294340127,1065.0,-140.42894249974978,1137.0,0.0,-140.42894249974978,-1.6618809763283997
0a476045,-196.246198636323,5483.0,-25.061185301224267,49.0,-221.30738393754726,5532.0,0.0,-221.30738393754726,-2.6190222951189024
0a4ebc61,-5.646751483056523,16.0,3.9844252674749283,36.0,-1.6623262155815945,52.0,0.0,-1.6623262155815945,-0.01967249959268159
0a509d6b,-17.60202473081041,608.0,0.0,0.0,-17.60202473081041,608.0,0.0,-17.60202473081041,-0.20830798498000486
0a67aec0,20.294153578301046,12.0,-79.06906875453713,174.0,-58.77491517623608,186.0,0.0,-58.77491517623608,-0.6955611263459891
0a8fce53,-11.898710341631734,22.0,136.54015333191273,1306.0,124.641442990281,1328.0,0.0,124.641442990281,1.475046662606876
0aadc906,-6.546269453995822,97.0,0.0,0.0,-6.546269453995822,97.0,0.0,-6.546269453995822,-0.07747064442598606
0af3426f,0.0,0.0,3.421465193108668,7.0,3.421465193108668,7.0,0.0,3.421465193108668,0.04049071234448128
0b60eb09,-2.1436174019194514,2.0,10.291066410663785,36.0,8.147449008744333,38.0,0.0,8.147449008744333,0.09641951489638265
0bacade8,0.977414130997174,178.0,0.0,0.0,0.977414130997174,178.0,0.0,0.977414130997174,0.01156703113606123
0bf15e52,0.0,0.0,-2.8424904380522853,25.0,-2.8424904380522853,25.0,0.0,-2.8424904380522853,-0.033638940095293314
0c2730df,-10.51713923459549,49.0,173.06990826661453,981.0,162.55276903201906,1030.0,0.0,162.55276903201906,1.9237014086629474
0c432afb,-1.5402460275428573,3.0,-4.103640077630226,158.0,-5.643886105173084,161.0,0.0,-5.643886105173084,-0.06679155154050986
0c94f480,-73.59101999926565,314.0,0.0,0.0,-73.59101999926565,314.0,0.0,-73.59101999926565,-0.8708996449617237
0c9652b0,-9.957218353095172,67.0,-48.516619985561114,213.0,-58.473838338656286,280.0,0.0,-58.473838338656286,-0.6919980868480033
0d232ffd,0.2944845349823577,22.0,-6.374097332275875,30.0,-6.0796127972935174,52.0,0.0,-6.0796127972935174,-0.0719480804413434
0dc00542,22.061057065128775,46.0,-3.2195765374334275,185.0,18.841480527695346,231.0,0.0,18.841480527695346,0.22297610091947154
0ebfb1ad,28.347419167366713,499.0,0.0,0.0,28.347419167366713,499.0,0.0,28.347419167366713,0.3354724161818546
0ed0cdbf,-4.718157741286083,5.0,0.0,0.0,-4.718157741286083,5.0,0.0,-4.718157741286083,-0.055836186287409266
0f12f9df,11.30738951476723,321.0,-16.75175335392281,715.0,-5.444363839155578,1036.0,0.0,-5.444363839155578,-0.06443034129178199
