identifier,name,full_name,bowling_styles,batting_styles,playing_roles,teams
525c3f54,A Adams,Fabian Alex Adams,Right arm Offbreak,Right hand Bat,Batter,anguilla-3715; leeward-islands-3762
525c3f54_001,A Adams,Georgia Louise Adams,Right arm Offbreak,Right hand Bat,Top order Batter,adelaide-strikers-women-896431; ecb-development-women-s-xi-940; loughborough-lightning-1034429; oval-invincibles-women-1208122; southern-brave-women-1208121; southern-vipers-1034421; sussex-women-1379
525c3f54_002,A Adams,Terrence Avery Adams,Right arm Medium,Right hand Bat,Allrounder,anguilla-3715
525c3f54_003,A Adams,Gemma Rose Adams,Right arm Medium,Right hand Bat,Not found,auckland-women-2467; otago-women-2576
525c3f54_004,A Adams,Roy Andre Adams,Right arm Medium,Right hand Bat,Not found,northern-cape-3228; south-africa-under-19s-3324
525c3f54_005,A Adams,Alex Adams,Not found,Not found,Not found,Not found
7923cca0,Ajay Jadeja,Ajaysinhji Jadeja,Right arm Medium,Right hand Bat,Middle order Batter,india-6; rca-president-s-xi-241522; delhi-1668; haryana-1757; jammu-kashmir-1828
7923cca0,Jadeja,Ajaysinhji Jadeja,Right arm Medium,Right hand Bat,Middle order Batter,india-6; rca-president-s-xi-241522; delhi-1668; haryana-1757; jammu-kashmir-1828
7923cca0_001,Jadeja,Dharmendrasinh Aniruddsinh Jadeja,Slow Left arm Orthodox,Left hand Bat,Bowler,saurashtra-and-kathiawar-2070; west-zone-2196
7923cca0_002,Jadeja,Ravindrasinh Anirudhsinh Jadeja,Slow Left arm Orthodox,Left hand Bat,Allrounder,india-6; chennai-super-kings-335974; saurashtra-and-kathiawar-2070; gujarat-lions-968725; india-a-india-blues-1781; india-b-1783; india-blue-260633; india-emerging-players-253075; india-red-260634; india-under-19s-young-cricketers-1803; indian-board-president-s-xi-1786; kochi-tuskers-kerala-474668; rajasthan-royals-335977; rest-of-india-2059; saurashtra-cricket-association-xi-339531; west-zone-2196
7923cca0_003,Jadeja,Balkrishna Nirubha Jadeja,Left arm Medium,Right hand Bat,Not found,saurashtra-and-kathiawar-2070
7923cca0_004,Jadeja,Aditya Jadeja,Left arm Medium,Left hand Bat,Not found,saurashtra-and-kathiawar-2070
7923cca0_005,Jadeja,Rajendra Raisinh Jadeja,Right arm Fast medium,Right hand Bat,Not found,saurashtra-and-kathiawar-2070
7923cca0_006,Jadeja,Vishvaraj Mahendrasinh Jadeja,Right arm Medium,Right hand Bat,Not found,saurashtra-and-kathiawar-2070; saurashtra-under-16s-2072
7923cca0_007,Jadeja,Hardeep Jadeja,Not found,Not found,Not found,singapore-23
7923cca0_008,Jadeja,Jaduvendrasinh N Jadeja,Not found,Not found,Not found,Not found
f33cfd25,B Masaba,Brian Masaba,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",Right hand Bat,Bowler,uganda-35; rwenzori-warriors-527512; uganda-under-19s-3666
b8d490fd,A Finch,Aaron James Finch,Slow Left arm Orthodox,Right hand Bat,Top order Batter,australia-2; aj-finch-s-xi-1231207; auckland-2459; australia-a-49; australia-centre-of-excellence-253077; australia-under-19s-233; australian-cricketers-association-all-stars-284352; australian-xi-240; california-knights-1392081; cricket-australia-invitation-xi-684287; cricket-australia-xi-786485; delhi-capitals-335975; gujarat-lions-968725; punjab-kings-335973; kolkata-knight-riders-335971; marylebone-cricket-club-1166; melbourne-renegades-509671; mumbai-indians-335978; pune-warriors-474666; rajasthan-royals-335977; royal-challengers-bengaluru-335970; ruhuna-325787; san-francisco-unicorns-1381357; southern-superstars-1408604; sunrisers-hyderabad-628333; surrey-1358; victoria-584; victoria-emerging-players-211856; victoria-second-xi-585; victoria-under-15s-595; victoria-under-17s-596; victoria-under-19s-597; victoria-xi-601; world-giants-1298094; yorkshire-1464; yorkshire-xi-1474
b8d490fd_001,A Finch,Adam William Finch,Right arm Fast medium,Right hand Bat,Bowler,england-under-19s-young-cricketers-971; worcestershire-1458; worcestershire-2nd-xi-1459
b8d490fd_002,A Finch,Christopher John William Finch,Right arm Medium,Right hand Bat,Not found,otago-2570
b8d490fd_003,A Finch,Harry Zacariah Finch,Right arm Medium fast,Right hand Bat,Not found,england-cricket-board-xi-941; england-under-19s-young-cricketers-971; sussex-1371; sussex-2nd-xi-1373; sussex-under-13s-471894; sussex-under-14s-471895; sussex-under-15s-469813; sussex-under-17s-469814
