identifier,name,bowling_style,batting_style
525c3f54,A Adams,Not found,Not found
d37fd2c3,A Adams,Not found,Not found
88679525,A Afghan,Right arm Medium fast,Right hand Bat
a2421394,A Agar,Right arm Fast,Right hand Bat
fa463154,A Agarkar,Right arm Fast,Right hand Bat
55a5cffb,A Ahmadhel,Right arm Medium,Right hand Bat
05da443b,A Akmal,Not found,Right hand Bat
2a3a3786,A Alam,Right arm Offbreak,Right hand Bat
5d836a72,A Ali,Right arm Medium fast,Right hand Bat
dc2abe5e,A Ali,Right arm Medium fast,Right hand Bat
3748955d,A Ali,Right arm Medium fast,Right hand Bat
e4271302,A Ali,Right arm Medium fast,Right hand Bat
f476d2a5,A Ali,Right arm Medium fast,Right hand Bat
0a4736eb,A Ali,Right arm Medium fast,Right hand Bat
4b0e3049,A Alleyne,Right arm Medium,Right hand Bat
14ea3348,A Amado,Right arm Medium,Right hand Bat
06653fcc,A Amin,Not found,Left hand Bat
1d45c01a,A Andrews,Right arm Medium,Right hand Bat
c736a96b,A Anwer,Right arm Medium fast,Right hand Bat
e2ee90d9,A Aponso,Slow Left arm Orthodox,Right hand Bat
321be7e3,A Ashok,Legbreak Googly,Right hand Bat
58c2fac4,A Athanaze,Right arm Offbreak,Left hand Bat
112959b2,A Bagai,Not found,Right hand Bat
cb932841,A Bains,Not found,Right hand Bat
d3a3e82d,A Barath,Right arm Offbreak,Right hand Bat
a9789d58,A Baum,Not found,Right hand Bat
afe3355a,A Bawne,Right arm Offbreak,Right hand Bat
c109497d,A Bengeri,Not found,Not found
a74bbdad,A Bhadauria,Right arm Medium,Right hand Bat
906ef9e5,A Bhagwat,Not found,Right hand Bat
192f2caf,A Bhargava,Right arm Medium,Right hand Bat
2c2013a9,A Bhattarai,Left arm Medium,Right hand Bat
376557f7,A Bishnoi,Right arm Medium,Right hand Bat
b9164a9b,A Blackwell,Right arm Medium,Right hand Bat
1efb8a28,A Blizzard,Left arm Medium,Left hand Bat
16f4cc7e,A Bulow,Right arm Medium,Right hand Bat
2d645c00,A Bushell,Not found,Right hand Bat
c6a1b1bb,A Butt,Right arm Fast medium,Right hand Bat
03d3dd8e,A Buurman,Not found,Right hand Bat
69d03465,A Carey,Right arm Medium,Left hand Bat
99b202b3,A Chandila,Right arm Offbreak,Right hand Bat
ffead9c2,A Chaudhary,Left arm Medium,Left hand Bat
465fd722,A Chaudhary,Left arm Medium,Left hand Bat
6e0d8de5,A Chauhan,Right arm Medium,Right hand Bat
29d72eb2,A Chavan,Slow Left arm Orthodox,Left hand Bat
5441db8c,A Cheema,Right arm Medium fast,Right hand Bat
97b9cb64,A Conteh,Right arm Medium,Right hand Bat
f41598c1,A Cook,Right arm Slow,Left hand Bat
568e5a4a,A Cusack,Right arm Medium fast,Right hand Bat
29ede60b,A Davies,Not found,Not found
2f949d55,A Daxini,Right arm Offbreak,Right hand Bat
96912eac,A Denuwan,Right arm Medium,Right hand Bat
6fda55cc,A Deshmukh,Not found,Not found
753ada66,A Dhingra,Right arm Medium fast,Right hand Bat
66b30f71,A Dinda,Right arm Medium fast,Right hand Bat
6483c062,A Dizija,Right arm Offbreak,Right hand Bat
72918338,A Donald,Right arm Fast,Right hand Bat
36eafb02,A Doolan,Right arm Fast medium,Right hand Bat
803dbf1d,A Dutt,Not found,Right hand Bat
f48d5563,A Elliott,Legbreak,Right hand Bat
e9a870ed,A Evans,Not found,Not found
b8889eb7,A Faletar,Right arm Medium,Right hand Bat
ea72c644,A Fernando,Not found,Right hand Bat
b8d490fd,A Finch,Slow Left arm Orthodox,Right hand Bat
42d9dd09,A Fletcher,"Right arm Medium fast, Legbreak",Right hand Bat
d60640f9,A From-Hansen,Not found,Not found
fd46ed0b,A G Milkha Singh,Right arm Medium,Right hand Bat
37db06ef,A Gajjar,Not found,Not found
43501c0d,A Gale,Right arm Medium,Right hand Bat
d72a2d32,A Ganeshan,Not found,Not found
2c3afa34,A Gani,Right arm Offbreak,Right hand Bat
e87c009a,A Gasteratos,Right arm Medium fast,Right hand Bat
c725d464,A Gavde,Right arm Offbreak,Right hand Bat
34ab1e6e,A Gbla,Right arm Medium,Right hand Bat
2b6e6dec,A Gilchrist,Not found,Not found
c6b11959,A Gorawara,Not found,Right hand Bat
f64ff7e7,A Gregory,Not found,Not found
770494eb,A Gunaratne,Right arm Medium fast,Right hand Bat
df1b4c8f,A Halbhavi,Not found,Right hand Bat
705a05c8,A Halim,Right arm Medium,Right hand Bat
6b950e3a,A Hamza,Right arm Offbreak,Right hand Bat
dca1ac2e,A Hamza,Right arm Offbreak,Right hand Bat
72b245dd,A Haque,Not found,Right hand Bat
ad1730bc,A Haque,Not found,Right hand Bat
bbafa5d6,A Harris,Right arm Medium,Right hand Bat
5c756df3,A Hasan,Right arm Medium fast,Right hand Bat
5faa30f7,A Hayat,Right arm Fast,Right hand Bat
321644de,A Healy,Not found,Right hand Bat
4ed49d3d,A Herwadkar,Right arm Offbreak,Left hand Bat
1edf29b9,A Homraj,Not found,Right hand Bat
104e88a4,A Hose,Not found,Not found
37138918,A Hossain,Right arm Offbreak,Left hand Bat
034d3c52,A Husain,Right arm Offbreak,Right hand Bat
d376bbaa,A Ilyas,Right arm Medium,Right hand Bat
b3b39bed,A Ilyas,Right arm Medium,Right hand Bat
f8ce577b,A Islam,Right arm Medium,Right hand Bat
a83208cd,A Jaffer,Right arm Offbreak,Right hand Bat
18eaf2fa,A Javed,Right arm Fast medium,Right hand Bat
1bb0993e,A Jayed,Right arm Fast medium,Right hand Bat
2815fe50,A Jhunjhunwala,Right arm Offbreak,Right hand Bat
e64c35df,A Johnmary,Not found,Right hand Bat
a28a7fba,A Johnson,Right arm Offbreak,Right hand Bat
17aa4f1d,A Jones,Right arm Fast medium,Right hand Bat
b05e45e4,A Jones,Right arm Fast medium,Right hand Bat
b0946605,A Joseph,Right arm Medium,Right hand Bat
748b7a38,A Joshi,Right arm Offbreak,Right hand Bat
0abf3da7,A Kadowaki Fleming,Not found,Right hand Bat
c7acf05f,A Kainessie,Not found,Right hand Bat
8930a2a6,A Kalasi,Legbreak,Right hand Bat
4ac6664d,A Kanchana,Right arm Fast medium,Right hand Bat
5f77f4ec,A Kansonkho,Right arm Medium,Right hand Bat
7c9c0f18,A Kapa,Not found,Not found
2835af2a,A Kapoor,Right arm Medium,Right hand Bat
357f5314,A Karn,Left arm Medium,Right hand Bat
7daedf2f,A Karthik,Right arm Medium,Right hand Bat
7d13b388,A Kassam,Not found,Not found
53d0b0dc,A Kaul,Right arm Medium,Right hand Bat
ca753f5d,A Kenealy,Right arm Medium,Right hand Bat
7673c908,A Kerr,Legbreak,Right hand Bat
f6c2659d,A Khan,Not found,Not found
692c7070,A Khan,Not found,Not found
2deb4082,A Kheterpal,Right arm Medium,Right hand Bat
63a1874a,A Kitchen,Slow Left arm Orthodox,Right hand Bat
53e54340,A Krengel,Not found,Not found
13598ebc,A Krishna,Legbreak Googly,Right hand Bat
550373ea,A Kulasuriya,Right arm Medium,Left hand Bat
b858be20,A Lalcheta,Slow Left arm Orthodox,Left hand Bat
c206d8dc,A Lalith Mohan,Slow Left arm Orthodox,Right hand Bat
fe0b3bdf,A Langham,Not found,Not found
67b5bb60,A Leblanc,Failed to retrieve the page. Status code: 404,
c9c0fe50,A Lees,Slow Left arm Orthodox,Left hand Bat
88a004e9,A Lilley,Right arm Medium,Right hand Bat
2bcbcac3,A Limdawala,Not found,Left hand Bat
5eecae5d,A Louw,Right arm Offbreak,Right hand Bat
b483905d,A M Singh,Right arm Medium,Right hand Bat
d6a2f3a5,A Magdalenic,Right arm Medium,Right hand Bat
3ec513ea,A Maheshwari,Left arm Medium fast,Right hand Bat
a172b05d,A Mahmood,Right arm Medium fast,Left hand Bat
